,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
2579,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0075,100,36,0.28004427847
2580,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0083,100,39,0.27975758762
2581,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0092,100,42,0.27958292213
2582,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.01,100,49,0.29989699897
2583,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0108,100,67,0.31544023273
2584,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0117,100,61,0.31796647317
2585,lcs,2,5,xz_sep_naive,bposd_msl_25_CS_25_0,cli,5,1,threshold,100,100,0.0125,100,79,0.3261849743
2586,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00146104958238
2587,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00455537697527
2588,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01225089973572
2589,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,0,0.03242298151427
2590,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,4,0.08299999820908
2591,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,1e-05,10000,0,0.001353182227
2592,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,3e-05,10000,0,0.0041199260401
2593,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,8e-05,10000,0,0.0110601828253
2594,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.00022,10000,0,0.0292470712859
2595,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.0006,10000,0,0.0898851581595
2596,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,1e-05,2000000,0,1.01620148555e-05
2597,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,3e-05,2000000,1,1.0069907984e-05
2598,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,8e-05,2000000,6,1.0322686749e-05
2599,surface,2,1,standard,pymatching,cli,3,1,logsweep,2000000,1000,0.00022,2000000,85,1.06100160895e-05
2600,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,9.0700236332e-05
2601,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,0.000258098281197
2602,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,8,0.000680934324199
2603,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.00022,1000000,14,0.001916162889563
2604,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.0006,1000000,177,0.004817205054615
2605,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,1.0050357935e-05
2606,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,1.0019057438e-05
2607,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,1.0172953901e-05
2608,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00144926113387
2609,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00441043856148
2610,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01233243259547
2611,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,1e-05,100000,0,1.227710716e-05
2612,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,3e-05,100000,0,1.2833279420000002e-05
2613,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,8e-05,100000,0,1.431885827e-05
2614,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00022,100000,0,1.597786917e-05
2615,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.0006,100000,0,2.020758441e-05
2616,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00167,100000,5,2.447283146e-05
2617,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00464,100000,394,3.92187516e-05
2618,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.01292,5768,1000,0.0001059326742371
2619,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.03594,1923,1000,0.0002920209157566
2620,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.1,2082,1000,0.0004177424370797
2621,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,9.028404162e-06
2622,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,8.547592134e-06
2623,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,8e-05,1000000,4,8.861878603e-06
2624,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.00022,1000000,39,8.981134616999999e-06
2625,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.0006,1000000,314,9.715990141e-06
2626,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,6,0.32788797301
2627,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,14,0.33885945051
2628,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,14,0.35274294167
2629,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,17,0.35080238095
2630,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,36,0.35513323982
2631,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,43,0.35600593313
2632,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.01,100,43,0.37202615077
2633,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,52,0.3718853601
2634,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,61,0.3720536259599999
2635,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,77,0.37800445868
2636,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,9.3303779467e-05
2637,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,0.000255246044291
2638,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,1,0.000672631443617
2639,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.00022,1000000,20,0.001866736051018
2640,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.0006,1000000,164,0.004442967491687
2641,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.003,100000,755,1.374100184e-05
2642,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.00333,100000,894,1.269351875e-05
2643,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.00367,94832,1000,1.3130456386030031e-05
2644,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.004,80970,1000,1.314510104977152e-05
2645,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.00433,72028,1000,1.468008245404565e-05
2646,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.00467,60792,1000,1.3679690238847218e-05
2647,surface,2,1,standard,pymatching,cli,3,1,pseudo_threshold,100000,1000,0.005,52176,1000,1.3894195971327812e-05
2648,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,1.862862006e-05
2649,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,2,2.5425912548e-05
2650,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,25,4.4659836433e-05
2651,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.00022,1000000,144,9.9903355431e-05
2652,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.0006,1000000,699,0.000245876505166
2663,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,1e-05,100000,0,1.143115932e-05
2664,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,3e-05,100000,0,1.158637073e-05
2665,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,8e-05,100000,0,1.560754212e-05
2666,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00022,100000,0,1.611657838e-05
2667,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.0006,100000,0,2.020788092e-05
2668,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00167,100000,9,2.38045081e-05
2669,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00464,100000,380,3.832218677e-05
2670,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.01292,5636,1000,0.0001023523687012
2671,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.03594,1928,1000,0.0002454149076763
2672,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.1,1939,1000,0.0003717525936049
2673,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,1.5927281338999998e-05
2674,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,3,2.3730113147e-05
2675,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,24,4.2878786286e-05
2676,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.00022,1000000,131,9.5032061543e-05
2677,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,0.0006,1000000,730,0.000237843351444
2678,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00144714986265
2679,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00466843988086
2680,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01382092865983
