,code,l,L,circuit_type,decoder,noise_model,n_cycles,which_detectors,error_rates,n_errorsamples,n_fail_cutoff,p,n_shots,n_fails,dec_time_per_shot
0,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,7.574964313000001e-06
1,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,7.59255965e-06
2,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,7.781638689e-06
3,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,1,8.329608598e-06
4,surface_r,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,17,9.331250518e-06
5,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00154618021677
6,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00489052337419
7,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01187006213384
8,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,1,0.036018967496
9,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,5,0.09301886598105
10,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00139392335333
11,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00471908021382
12,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01358960966715
13,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,0,0.03672963626046
14,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,1e-05,1000,0,0.002114087583
15,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,3e-05,1000,0,0.004380206343
16,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,8e-05,1000,0,0.010587710691
17,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00022,1000,0,0.030849400133
18,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.0006,1000,0,0.083226279987
19,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00167,1000,2,0.168745770701
20,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.00464,1000,53,0.267282935164
21,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.01292,1000,701,0.311128988977
22,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.03594,1000,959,0.284050142431
23,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,1000,1000,0.1,1000,971,0.324340636009
24,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.003,10000,131,0.0211963274933
25,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00333,10000,144,0.0227081712032
26,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00367,10000,193,0.0235549790643
27,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.004,10000,223,0.0250431452232
28,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00433,10000,299,0.026571308023
29,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.00467,10000,373,0.0269840169957
30,lcs,2,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,pseudo_threshold,10000,1000,0.005,10000,439,0.0278205291289
31,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,8.709996856e-06
32,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,3e-05,1000000,0,8.539812948999999e-06
33,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,8e-05,1000000,7,8.938629555e-06
34,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.00022,1000000,42,8.907014206e-06
35,surface,2,1,standard,pymatching,cli,3,1,logsweep,1000000,1000,0.0006,1000000,292,9.660000113e-06
36,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,4,0.32994007139
37,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,14,0.33767527074
38,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,18,0.35158684109
39,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,25,0.35335342867
40,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,26,0.35643408211
41,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,46,0.36408938351
42,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.01,100,47,0.36016972087
43,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,58,0.37563657651
44,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,65,0.38709222825
45,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,56,0.37525673136
46,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,10,0.32874509024
47,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,10,0.3297081661
48,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,24,0.34922125129
49,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,24,0.3636265548399999
50,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,39,0.36042808727
51,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,48,0.3677645056
52,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.01,100,50,0.37213623963
53,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,55,0.36456297004
54,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,60,0.3741612173399999
55,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,56,0.37222887673
71,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,5,0.30895648904
72,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,7,0.34190507604
73,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,15,0.3548212042799999
74,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,23,0.34508485542
75,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,24,0.36639673853
76,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,41,0.36863122138
77,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.01,100,47,0.36568924227
78,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,54,0.37858374304
79,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,63,0.38141014735
80,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,75,0.38201098715
81,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00139663148182
82,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00413239043174
83,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01122998009844
84,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.00022,100000,0,0.0288995008370699
85,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,0.0006,100000,8,0.08091448139285
86,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.005,100,3,0.27986684293
87,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,13,0.28096082869
88,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,17,0.2753880172
89,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,16,0.28884366188
90,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,34,0.3058440613199999
91,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,39,0.30172617437
92,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.01,100,52,0.3022070086
93,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,57,0.30330474206
94,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,61,0.30906575487
95,lcs,2,5,xz_sep_naive,bposd_psl_15_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,63,0.31244518733
96,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,1e-05,1000000,1,1.0670933225e-05
97,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,3e-05,1000000,4,1.0931566055e-05
98,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,8e-05,1000000,22,1.0883913182e-05
99,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00022,1000000,202,1.1061026751e-05
100,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.0006,694438,1000,1.1642520056506124e-05
101,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00167,102701,1000,1.2727374183308828e-05
102,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00464,13690,1000,1.5396759605551497e-05
103,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.01292,2980,1000,2.4204059060402684e-05
104,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.03594,1282,1000,3.015858892355694e-05
105,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.1,1133,1000,2.0712680494263014e-05
106,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.0015291403448399
107,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.0044415336118
108,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,0,0.01258565657182
109,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,1e-05,100000,0,1.028642188e-05
110,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,3e-05,100000,0,1.096724841e-05
111,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,8e-05,100000,0,1.213559782e-05
112,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00022,100000,0,1.489810479e-05
113,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.0006,100000,1,1.822416228e-05
114,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00167,100000,4,2.240139019e-05
115,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00464,100000,376,3.637282767e-05
116,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.01292,5759,1000,9.677915905539155e-05
117,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.03594,1960,1000,0.0002729737841836
118,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.1,2025,1000,0.0003527693871604
119,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.005,100,7,0.31538229024
120,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0058,100,11,0.31548333881
121,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0067,100,18,0.28988004292
122,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0075,100,22,0.2830697538
123,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0083,100,32,0.28368770053
124,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0092,100,39,0.2948258045799999
125,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.01,100,54,0.30028793107
126,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0108,100,57,0.2988794627
127,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0117,100,52,0.3071063162799999
128,lcs,2,5,xz_sep_naive,bposd_psl_9_CS_15_0,cli,5,1,threshold,100,100,0.0125,100,62,0.29860112186
129,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,9.09514954e-06
130,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,8.958129225999999e-06
131,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,9.377030919e-06
132,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,0,1.054177606e-05
133,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,11,1.2099735511e-05
134,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,9.410410856e-06
135,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,3e-05,1000000,2,9.633375102e-06
136,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,8e-05,1000000,28,9.795049283e-06
137,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00022,1000000,214,9.666217872e-06
138,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.0006,745087,1000,1.0344747621418706e-05
139,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00167,93732,1000,1.0134606719156743e-05
140,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00464,14426,1000,1.1182251143768195e-05
141,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.01292,2853,1000,1.283754013319313e-05
142,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.03594,1299,1000,1.501356351039261e-05
143,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.1,1115,1000,1.5975777578475335e-05
154,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,1e-05,10000,0,0.001324184257
155,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,3e-05,10000,0,0.0054834495338
156,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,8e-05,10000,0,0.0146948063025
157,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.00022,10000,0,0.0405913998632
158,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.0006,10000,0,0.0988503643079
159,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,1e-05,100000,0,1.31092623e-05
160,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,3e-05,100000,0,1.105073891e-05
161,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,8e-05,100000,0,1.476284866e-05
162,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00022,100000,0,1.639786954e-05
163,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.0006,100000,0,2.224123326e-05
164,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00167,100000,4,2.649735749e-05
165,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00464,100000,371,3.817313761e-05
166,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.01292,5780,1000,0.0001135136608996
167,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.03594,2051,1000,0.0002463373412969
168,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.1,1972,1000,0.0003797898919878
169,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,1e-05,1000000,0,1.722274941e-05
170,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,3e-05,1000000,0,1.6310288429e-05
171,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,8e-05,1000000,1,1.7151494966e-05
172,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00022,1000000,0,1.9176007333e-05
173,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.0006,1000000,16,2.1838635458e-05
174,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00167,1000000,381,2.186692422e-05
175,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00464,1000000,8425,3.6209062355e-05
176,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.01292,72650,10000,4.455066929112182e-05
177,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.03594,20767,10000,8.962307001492754e-05
178,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.1,20153,10000,0.0001110009716171
179,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,1e-05,4000000,0,9.899553779e-06
180,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,3e-05,4000000,1,9.50774447925e-06
181,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,1.5572198819e-05
182,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,3e-05,1000000,1,2.4009498744e-05
183,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,1000000,1000,8e-05,1000000,34,4.3475691124e-05
184,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,1e-05,1000000,0,9.307979073e-06
185,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,3e-05,1000000,0,8.744333115e-06
186,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,8e-05,1000000,0,9.270082512e-06
187,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.00022,1000000,1,1.0672405262e-05
188,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,1000,0.0006,1000000,24,1.1991850259e-05
189,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,1e-05,100000,0,9.54563068e-06
190,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,3e-05,100000,0,9.93800819e-06
191,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,8e-05,100000,0,1.111250637e-05
192,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00022,100000,0,1.371511433e-05
193,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.0006,100000,0,1.743092747e-05
194,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00167,100000,7,2.21968042e-05
195,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.00464,100000,411,3.63651118e-05
196,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.01292,5637,1000,9.370527177576724e-05
197,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.03594,2057,1000,0.0002594989756927
198,surface,6,1,standard,pymatching,cli,7,1,logsweep,100000,1000,0.1,1930,1000,0.0003936187953367
199,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,1e-05,4000000,0,9.0769673135e-06
200,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,3e-05,4000000,4,9.00810278125e-06
201,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,1e-05,4000000,0,9.635039476e-06
202,surface,2,1,standard,pymatching,cli,3,1,logsweep,4000000,1000,3e-05,4000000,4,9.73171790075e-06
208,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,1e-05,10000,0,0.0016504228718999
209,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,3e-05,10000,0,0.0051438145327
210,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,8e-05,10000,0,0.0144010123940999
211,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.00022,10000,0,0.0367572662129999
212,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,10000,1000,0.0006,10000,1,0.0924736300162999
213,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.005,100000,542,3.332211096e-05
214,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0058,100000,972,3.813503263e-05
215,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0067,53656,1000,4.275659956016103e-05
216,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0075,36496,1000,4.965528509973696e-05
217,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0083,24665,1000,5.852709170889925e-05
218,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0092,17841,1000,6.686060002242028e-05
219,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.01,12002,1000,6.504445959006832e-05
220,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0108,9544,1000,7.505711473176865e-05
221,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0117,7492,1000,7.677213721302724e-05
222,surface,6,1,standard,pymatching,cli,7,1,threshold,100000,1000,0.0125,6254,1000,8.304260713143589e-05
223,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,1e-05,1000000,0,8.498724107e-06
224,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,3e-05,1000000,2,8.526883844e-06
225,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,8e-05,1000000,29,8.418036480999999e-06
226,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00022,1000000,184,8.828292584000001e-06
227,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.0006,703397,1000,9.20334305378044e-06
228,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00167,102999,1000,9.896659249118925e-06
229,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.00464,14537,1000,1.0680653367269726e-05
230,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.01292,2972,1000,1.3185751682368774e-05
231,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.03594,1252,1000,1.4797713258785944e-05
232,lcs,1,3,xz_sep_naive,lut_cli,cli,3,1,logsweep,1000000,1000,0.1,1148,1000,1.4537243902439024e-05
233,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,100000,1000,1e-05,100000,0,1.489895316e-05
234,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,100000,1000,3e-05,100000,0,2.349239234e-05
235,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,100000,1000,8e-05,100000,3,3.54242818e-05
236,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,100000,1000,0.00022,100000,7,8.115980706e-05
237,lcs,1,3,xz_sep_naive,bposd_psl_5_CS_15_0,cli,3,1,logsweep,100000,1000,0.0006,100000,72,0.00021707682595
238,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,1e-05,100000,0,0.00149595607629
239,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,3e-05,100000,0,0.00448347138384
240,lcs,2,5,xz_sep_naive,bposd_psl_5_CS_15_0,cli,5,1,logsweep,100000,1000,8e-05,100000,1,0.01214112165554
246,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,1e-05,1000000,0,9.885574177e-06
247,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,3e-05,1000000,0,1.0304458338e-05
248,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,8e-05,1000000,0,1.1532174112e-05
249,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00022,1000000,2,1.1988613809e-05
250,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.0006,1000000,14,1.4710113458e-05
251,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00167,1000000,397,1.784168158e-05
252,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.00464,1000000,8443,2.3203827249e-05
253,surface,4,1,standard,pymatching,cli,5,1,logsweep,1000000,10000,0.01292,73301,10000,3.5667743673346885e-05
